farm_id,crop_type,fertilizer_usage_kg_per_ha,fuel_consumption_liters_per_ha,water_consumption_m3_per_ha,electricity_consumption_kwh_per_ha
FARM-01185,Maize,192.51,83.04,4973.84,340.55
FARM-01186,Rice,176.15,71.84,8832.88,441.37
FARM-01187,Sugarcane,186.9,86.88,,504.72
FARM-01188,Soybean,38.63,54.98,3136.01,
FARM-01189,Cotton,137.21,64.07,8546.85,311.15
FARM-01190,Sugarcane,214.07,92.35,16112.01,579.25
FARM-01191,Cotton,172.1,64.69,7472.33,418.43
FARM-01192,Cotton,150.51,60.09,8051.56,312.42
FARM-01193,Cotton,166.68,63.09,6386.17,360.64
FARM-01194,Soybean,40.12,42.76,4132.35,192.15
FARM-01195,Cotton,149.82,212.41049645434774,8538.87,375.93
FARM-01196,Maize,211.73,226.6712051879706,4658.89,230.79
FARM-01197,Wheat,125.49,63.32,4325.75,165.53
FARM-01198,Maize,176.73,74.63,4986.42,273.62
FARM-01199,Cotton,148.11,54.7,8174.9,233.11
FARM-01200,Wheat,134.66,56.29,4304.67,223.55
FARM-01201,Soybean,45.91,76.43,3878.0,278.89
FARM-01202,Cotton,128.83,77.09,8402.35,429.4
FARM-01203,Wheat,110.47,47.71,4255.56,
FARM-01204,Maize,192.14,85.87,4820.86,407.25
FARM-01205,Maize,210.7,72.58,4373.04,318.06
FARM-01206,Wheat,127.8,49.5,3699.84,241.57
FARM-01207,Cotton,131.44,70.65,7234.93,402.74
FARM-01208,Soybean,46.72,56.74,4168.66,1011.8372946050191
FARM-01209,Rice,141.37,81.58,9986.97,535.7
FARM-01210,Cotton,415.5587836208324,88.63,7914.78,337.99
FARM-01211,Wheat,116.71,55.05,4165.95,222.58
FARM-01212,Rice,158.58,91.06,11285.45,456.84
FARM-01213,Rice,132.36,74.44,9229.1,509.59
FARM-01214,Cotton,155.73,67.45,7960.94,337.88
FARM-01215,Maize,180.06,92.91,5294.97,376.76
FARM-01216,Rice,141.35,94.16,8606.39,497.3
FARM-01217,Sugarcane,211.56,102.22,17007.18,633.41
FARM-01218,Sugarcane,231.81,80.41,19403.12,458.78
FARM-01219,Cotton,152.99,69.36,7791.34,436.95
FARM-01220,Maize,206.83,86.03,5113.11,401.52
FARM-01221,Cotton,168.85,79.56,7180.29,433.91
FARM-01222,Wheat,123.53,62.62,4349.18,324.51
FARM-01223,Soybean,50.27,79.85,3206.63,309.52
FARM-01224,Soybean,42.82,71.52,4181.17,252.88
FARM-01225,Rice,148.46,79.89,10814.81,470.57
FARM-01226,Sugarcane,236.71,75.43,16381.75,366.25
FARM-01227,Maize,187.0,59.16,4908.91,379.2
FARM-01228,Rice,154.68,83.54,9944.81,427.18
FARM-01229,Wheat,128.25,45.42,3615.32,212.51
FARM-01230,Sugarcane,235.36,111.65,16728.49,608.35
FARM-01231,Soybean,55.11,51.83,4381.63,261.1
FARM-01232,Cotton,166.62,65.41,6734.98,246.92
FARM-01233,Rice,129.39,81.7,9935.42,454.33
FARM-01234,Maize,190.07,58.5,4531.9,229.5
FARM-01235,Sugarcane,,112.83,18736.93,580.06
FARM-01236,Maize,159.22,73.82,5097.27,318.01
FARM-01237,Sugarcane,204.57,78.51,17671.12,479.38
FARM-01238,Cotton,146.67,46.36,7990.34,277.77
FARM-01239,Cotton,122.37,90.96,7332.62,435.76
FARM-01240,Maize,185.47,38.68,5252.48,193.77
FARM-01241,Maize,164.59,63.21,5056.92,355.86
FARM-01242,Sugarcane,203.71,96.53,18379.78,565.42
FARM-01243,Maize,193.03,93.91,4147.08,321.84
FARM-01244,Rice,140.68,85.49,9039.38,416.8
FARM-01245,Rice,161.07,67.14,9889.07,523.86
FARM-01246,Soybean,163.70947989456315,,4177.31,325.04
FARM-01247,Soybean,36.9,55.06,3958.87,286.76
FARM-01248,Maize,185.66,67.13,5044.88,315.81
FARM-01249,Sugarcane,199.14,120.49,18303.33,596.27
FARM-01250,Soybean,52.79,36.28,4458.5,136.83
FARM-01251,Soybean,38.72,62.59,4016.91,227.72
FARM-01252,Rice,147.47,59.74,10641.3,487.52
FARM-01253,Wheat,114.65,58.18,3411.92,225.16
FARM-01254,Wheat,121.86,69.68,3736.18,
FARM-01255,Cotton,154.23,46.36,6834.92,245.26
FARM-01256,Wheat,137.19,67.18,4511.74,
FARM-01257,Wheat,129.11,55.56,3930.8,224.16
FARM-01258,Sugarcane,205.67,89.55,16103.06,563.38
FARM-01259,Rice,158.1,74.02,9338.49,404.5
FARM-01260,Wheat,134.95,65.97,4430.75,205.65
FARM-01261,Maize,200.38,84.34,5097.77,400.98
FARM-01262,Maize,209.18,87.01,4625.63,428.18
FARM-01263,Soybean,43.81,59.27,3466.51,177.76
FARM-01264,Wheat,114.99,60.51,3347.75,174.22
FARM-01265,Cotton,150.66,52.01,8240.06,250.25
FARM-01266,Rice,144.2,89.04,10548.17,443.1
FARM-01267,Sugarcane,192.41,82.92,16792.27,420.48
FARM-01268,Maize,199.61,74.95,5121.47,264.67
FARM-01269,Rice,158.65,,9047.71,451.93
FARM-01270,Rice,145.93,73.32,,358.37
FARM-01271,Soybean,41.64,60.18,3854.04,297.65
FARM-01272,Cotton,150.55,75.25,7231.51,422.74
FARM-01273,Sugarcane,210.59,68.92,,400.32
FARM-01274,Soybean,51.93,34.5,4297.95,136.51
FARM-01275,Soybean,45.5,49.63,3780.86,213.57
FARM-01276,Soybean,39.77,57.15,4260.51,226.82
FARM-01277,Maize,175.0,59.15,4775.58,313.32
FARM-01278,Cotton,134.95,66.05,7919.8,346.29
FARM-01279,Sugarcane,235.3,86.65,18376.68,488.75
FARM-01280,Maize,174.41,49.44,4664.32,199.63
FARM-01281,Maize,174.37,48.51,5170.85,328.32
FARM-01282,Rice,156.54,81.84,10608.34,592.27
FARM-01283,Cotton,134.59,71.28,7495.71,307.06
FARM-01284,Sugarcane,223.58,84.88,16443.01,539.93
FARM-01285,Soybean,53.07,68.89,4282.79,248.21
FARM-01286,Rice,140.52,70.28,11284.11,478.66
FARM-01287,Cotton,133.31,71.94,7960.91,359.76
FARM-01288,Maize,198.89,75.04,5210.74,278.43
FARM-01289,Sugarcane,218.52,112.64,16303.87,536.24
FARM-01290,Cotton,144.05,46.19,7527.46,248.43
FARM-01291,Sugarcane,192.58,91.45,15681.6,468.72
FARM-01292,Maize,175.61,87.59,5083.25,418.31
FARM-01293,Soybean,49.16,44.79,4158.77,237.41
FARM-01294,Cotton,150.66,74.19,7403.01,349.19
FARM-01295,Maize,173.18,75.46,4841.02,270.39
FARM-01296,Wheat,132.38,61.18,4582.15,199.39
FARM-01297,Cotton,137.92,57.92,6202.62,320.62
FARM-01298,Soybean,38.11,59.87,3976.46,306.43
FARM-01299,Cotton,138.59,67.4,8393.82,383.02
FARM-01300,Sugarcane,205.26,133.51,17556.65,685.19
FARM-01301,Rice,152.48,95.86,11267.34,486.32
FARM-01302,Cotton,137.08,60.73,8474.77,317.77
FARM-01303,Sugarcane,191.41,117.01,17006.96,488.17
FARM-01304,Cotton,146.25,69.63,7233.04,364.46
FARM-01305,Soybean,38.76,53.34,4684.82,262.05
FARM-01306,Maize,179.94,49.59,5019.03,263.75
FARM-01307,Maize,187.2,58.32,5465.24,310.88
FARM-01308,Wheat,128.96,38.21,3412.85,187.29
FARM-01309,Wheat,121.39,40.38,4138.84,185.01
FARM-01310,Wheat,127.49,34.58,4521.97,143.17
FARM-01311,Wheat,111.19,46.37,3635.32,218.81
FARM-01312,Sugarcane,202.71,115.08,17771.17,535.96
FARM-01313,Sugarcane,200.23,109.35,16381.12,659.71
FARM-01314,Soybean,50.47,51.03,3423.49,264.44
FARM-01315,Soybean,45.88,64.67,4134.53,240.7
FARM-01316,Rice,148.58,93.77,8960.53,366.06
FARM-01317,Rice,153.71,66.14,10718.6,357.75
FARM-01318,Maize,,91.16,5228.91,303.13
FARM-01319,Sugarcane,208.39,,17401.4,601.41
FARM-01320,Rice,148.73,58.68,9871.56,330.41
FARM-01321,Cotton,150.15,61.69,7728.97,308.76
FARM-01322,Rice,,58.51,9955.4,451.84
FARM-01323,Wheat,107.06,61.44,3617.28,
FARM-01324,Rice,157.76,84.16,10111.69,418.2
FARM-01325,Sugarcane,228.33,87.46,17179.86,537.66
FARM-01326,Maize,196.08,75.44,5250.19,344.71
FARM-01327,Soybean,45.11,51.36,3413.81,258.75
FARM-01328,Rice,148.98,67.87,11352.15,446.29
FARM-01329,Soybean,,70.06,4250.58,256.33
FARM-01330,Maize,168.95,60.81,5186.58,222.93
FARM-01331,Soybean,46.14,65.72,3448.35,241.36
FARM-01332,Wheat,,51.87,3834.87,156.52
FARM-01333,Wheat,123.06,52.48,3559.95,158.55
FARM-01334,Wheat,103.91,50.92,15913.714298525974,232.34
FARM-01335,Sugarcane,232.57,70.88,16920.43,377.28
FARM-01336,Maize,196.67,,4880.68,339.88
FARM-01337,Maize,208.63,79.14,13370.84875829835,409.56
FARM-01338,Maize,174.72,72.69,5096.41,329.97
FARM-01339,Sugarcane,216.9,98.55,17462.35,582.31
FARM-01340,Cotton,161.77,64.51,7161.65,701.9687444713869
FARM-01341,Sugarcane,205.96,89.37,16556.54,676.93
FARM-01342,Wheat,143.77,73.92,,253.04
FARM-01343,Sugarcane,240.08,92.42,18293.77,616.66
FARM-01344,Maize,171.43,68.38,4596.63,417.72
FARM-01345,Sugarcane,200.34,79.45,15514.2,628.33
FARM-01346,Rice,134.33,83.02,9454.92,492.67
FARM-01347,Sugarcane,198.57,105.38,15135.11,577.71
FARM-01348,Sugarcane,223.86,99.44,17877.94,557.63
FARM-01349,Soybean,53.05,71.59,4676.73,
FARM-01350,Cotton,144.58,62.26,7547.86,376.81
FARM-01351,Soybean,42.6,59.66,13182.859086986064,250.19
FARM-01352,Sugarcane,215.64,92.24,16740.26,527.43
FARM-01353,Cotton,150.62,63.17,7931.64,297.29
FARM-01354,Sugarcane,208.68,137.73,17381.13,659.16
FARM-01355,Rice,136.09,92.46,10478.25,513.77
FARM-01356,Rice,169.26,243.56311615350782,9730.81,559.42
FARM-01357,Rice,174.54,70.03,9858.92,397.67
FARM-01358,Sugarcane,203.41,116.39,18619.21,694.0
FARM-01359,Rice,170.63,57.75,9553.74,296.95
FARM-01360,Sugarcane,227.18,90.66,17511.74,529.44
FARM-01361,Sugarcane,227.49,108.11,17214.83,639.24
FARM-01362,Maize,184.51,92.18,5347.11,430.76
FARM-01363,Soybean,50.64,47.22,3326.42,205.79
FARM-01364,Soybean,39.78,43.64,3590.32,268.54
FARM-01365,Soybean,47.87,61.44,3714.98,322.66
FARM-01366,Soybean,52.86,63.16,3640.5,253.04
FARM-01367,Sugarcane,234.95,113.45,16626.97,614.81
FARM-01368,Maize,183.9,83.17,4503.15,307.46
FARM-01369,Wheat,126.26,68.81,13926.11356171805,260.96
FARM-01370,Soybean,49.05,39.91,4229.31,154.59
FARM-01371,Sugarcane,233.19,83.09,16648.32,362.98
FARM-01372,Rice,149.91,89.58,9878.77,563.44
FARM-01373,Soybean,47.2,51.62,4543.07,212.0
FARM-01374,Wheat,111.25,40.36,3486.06,252.12
FARM-01375,Wheat,135.68,54.67,3735.97,240.35
FARM-01376,Rice,149.12,85.81,10233.78,454.23
FARM-01377,Soybean,54.22,61.36,4502.71,206.09
FARM-01378,Sugarcane,191.4,84.38,18267.26,669.69
FARM-01379,Sugarcane,223.14,136.69,16576.34,700.48
FARM-01380,Wheat,128.38,48.29,,182.82
FARM-01381,Rice,139.73,78.68,10628.94,643.72
FARM-01382,Wheat,136.57,28.0,4396.92,105.0
FARM-01383,Soybean,50.38,49.36,4643.45,257.99
FARM-01384,Cotton,143.16,54.23,8683.38,291.92
FARM-01385,Soybean,44.45,65.25,3525.61,250.07
FARM-01386,Sugarcane,209.61,83.96,16218.32,428.67
FARM-01387,Sugarcane,204.51,103.44,17604.91,609.08
FARM-01388,Cotton,169.88,72.2,7579.44,477.96
FARM-01389,Soybean,33.39,236.0790276426346,4562.23,240.41
FARM-01390,Sugarcane,214.61,100.09,17850.79,557.07
FARM-01391,Maize,638.1552943691818,62.22,5262.23,282.87
FARM-01392,Sugarcane,209.42,82.93,17075.92,559.56
FARM-01393,Maize,192.06,89.83,5567.1,395.81
FARM-01394,Rice,146.31,88.84,,520.97
FARM-01395,Soybean,41.06,58.1,4454.59,209.45
FARM-01396,Sugarcane,208.16,84.13,17395.33,450.41
FARM-01397,Soybean,58.42,65.86,3167.24,274.95
FARM-01398,Cotton,143.38,63.79,7411.33,276.63
FARM-01399,Wheat,131.78,57.03,3805.92,207.77
FARM-01400,Maize,210.37,86.12,16473.886182705217,336.77
FARM-01401,Rice,177.14,92.48,9956.33,367.94
FARM-01402,Soybean,54.87,50.63,4533.69,166.49
FARM-01403,Cotton,149.54,64.79,7577.32,510.76
FARM-01404,Maize,158.76,57.48,4472.24,177.91
FARM-01405,Maize,188.84,52.78,5711.58,237.22
FARM-01406,Maize,179.79,62.15,4978.81,328.43
FARM-01407,Sugarcane,216.66,105.52,18344.97,540.03
FARM-01408,Rice,152.96,83.12,10434.22,433.58
FARM-01409,Rice,165.2,,9514.97,357.99
FARM-01410,Soybean,54.52,63.84,3465.48,176.49
FARM-01411,Maize,156.3,47.44,5166.63,264.26
FARM-01412,Maize,207.89,85.32,4577.16,386.42
FARM-01413,Sugarcane,208.45,68.38,17392.29,531.93
FARM-01414,Wheat,117.93,36.68,4377.46,188.49
FARM-01415,Rice,146.75,96.58,8727.07,468.83
FARM-01416,Cotton,156.85,80.93,7885.22,435.22
FARM-01417,Wheat,117.71,68.74,4444.93,321.6
FARM-01418,Wheat,116.86,54.82,3605.28,227.52
FARM-01419,Rice,133.75,46.76,9792.57,318.08
FARM-01420,Soybean,47.54,67.49,3525.29,195.58
FARM-01421,Rice,143.71,71.89,10357.83,379.67
FARM-01422,Cotton,148.64,69.4,6504.13,427.75
FARM-01423,Maize,202.07,63.79,4852.42,246.28
FARM-01424,Cotton,149.16,73.64,7251.51,403.79
FARM-01425,Wheat,127.64,59.2,4018.16,262.01
FARM-01426,Soybean,36.51,56.52,3713.25,235.95
FARM-01427,Maize,192.3,68.31,5008.07,265.3
FARM-01428,Wheat,128.1,51.81,3975.53,197.99
FARM-01429,Cotton,158.49,38.62,7162.36,287.05
FARM-01430,Wheat,115.87,69.46,4729.89,315.17
FARM-01431,Maize,198.16,70.29,5035.4,354.1
FARM-01432,Wheat,147.46,50.9,4765.32,203.2
FARM-01433,Rice,155.01,77.56,10347.08,429.93
FARM-01434,Sugarcane,193.17,91.44,16215.77,471.63
FARM-01435,Wheat,129.6,50.3,10851.7590408521,165.15
FARM-01436,Rice,135.69,78.99,9564.1,507.01
FARM-01437,Soybean,46.97,76.76,3790.33,334.88
FARM-01438,Soybean,47.84,53.81,3393.6,275.37
FARM-01439,Maize,,65.06,5093.7,318.72
FARM-01440,Sugarcane,191.56,140.75,17400.07,878.45
FARM-01441,Cotton,135.26,55.7,8335.83,301.36
FARM-01442,Rice,368.5444425332098,88.23,9483.32,521.18
FARM-01443,Wheat,119.45,54.29,3732.7,220.17
FARM-01444,Maize,165.97,75.82,5689.74,252.95
FARM-01445,Rice,154.2,83.31,9811.04,467.89
FARM-01446,Soybean,42.01,62.83,3707.25,273.21
FARM-01447,Soybean,55.72,69.93,3283.18,211.52
FARM-01448,Rice,150.61,73.16,9110.97,357.65
FARM-01449,Sugarcane,217.47,118.1,18967.1,666.92
FARM-01450,Maize,169.77,88.86,5306.19,379.55
FARM-01451,Sugarcane,232.26,91.31,16954.39,473.93
FARM-01452,Maize,215.66,59.66,4776.34,278.74
FARM-01453,Soybean,46.72,42.14,4820.45,173.0
FARM-01454,Sugarcane,207.42,103.03,19198.12,578.81
FARM-01455,Cotton,147.87,67.65,,272.98
FARM-01456,Rice,144.31,107.51,8209.25,708.68
FARM-01457,Sugarcane,211.92,86.28,19027.14,561.66
FARM-01458,Maize,164.76,48.42,4922.38,344.86
FARM-01459,Soybean,,50.47,4059.28,212.61
FARM-01460,Rice,135.42,60.74,11460.22,319.56
FARM-01461,Maize,184.31,69.64,5101.17,268.83
FARM-01462,Rice,156.56,103.15,10074.36,646.91
FARM-01463,Rice,155.91,79.92,9202.94,405.91
FARM-01464,Maize,175.31,71.97,5180.71,410.82
FARM-01465,Maize,181.98,65.51,5327.45,404.56
FARM-01466,Maize,191.38,51.87,5452.31,255.62
FARM-01467,Wheat,112.93,65.94,3860.61,208.06
FARM-01468,Maize,154.77,53.71,5123.86,251.54
FARM-01469,Rice,129.58,58.39,8638.0,398.88
FARM-01470,Wheat,111.09,70.94,4134.22,294.99
FARM-01471,Rice,129.67,57.42,10347.74,237.75
FARM-01472,Rice,159.74,79.74,9184.39,419.27
FARM-01473,Sugarcane,193.99,98.44,17341.73,421.23
FARM-01474,Sugarcane,202.75,107.36,19097.99,403.75
FARM-01475,Soybean,50.72,,4822.41,146.89
FARM-01476,Rice,154.58,,10463.84,1582.9852331988757
FARM-01477,Maize,196.76,54.72,5128.46,274.17
FARM-01478,Maize,204.38,88.6,5084.82,278.61
FARM-01479,Soybean,40.29,44.1,3887.19,162.68
FARM-01480,Soybean,46.97,63.94,3994.72,203.99
FARM-01481,Rice,529.3365090580825,77.78,10892.47,
FARM-01482,Wheat,114.91,51.37,4292.78,178.9
FARM-01483,Maize,174.71,76.81,5094.62,322.4
FARM-01484,Maize,203.26,78.33,4056.05,327.33
FARM-01485,Maize,182.6,59.02,5354.8,267.15
FARM-01486,Cotton,150.85,44.72,7838.28,224.36
FARM-01487,Rice,138.29,92.95,8720.81,399.16
FARM-01488,Rice,130.15,74.92,10672.96,521.71
FARM-01489,Cotton,137.02,81.78,7497.95,
FARM-01490,Wheat,108.56,61.5,4745.25,258.29
FARM-01491,Maize,,70.02,4859.95,336.07
FARM-01492,Wheat,108.91,40.39,4242.2,263.81
FARM-01493,Cotton,143.46,53.11,7037.49,373.68
FARM-01494,Wheat,129.18,61.01,3427.01,210.47
FARM-01495,Maize,197.25,63.0,5101.15,256.36
FARM-01496,Maize,189.26,61.66,4620.43,278.41
FARM-01497,Soybean,50.54,57.36,4806.13,186.96
FARM-01498,Sugarcane,241.98,87.5,18635.43,374.33
FARM-01499,Cotton,168.39,65.34,,362.07
FARM-01500,Sugarcane,197.44,94.59,17636.73,599.24
FARM-01501,Maize,174.35,58.13,4553.9,338.05
FARM-01502,Sugarcane,202.37,122.37,18176.03,701.74
FARM-01503,Soybean,55.16,67.47,4246.27,362.3
FARM-01504,Wheat,130.0,58.94,3435.57,249.23
FARM-01505,Maize,160.73,62.18,5212.8,233.32
FARM-01506,Wheat,120.4,70.47,4862.87,200.41
FARM-01507,Cotton,140.52,59.4,7707.84,392.21
FARM-01508,Maize,170.61,98.29,4435.07,417.28
FARM-01509,Sugarcane,217.54,110.51,16506.71,595.48
FARM-01510,Soybean,43.58,57.3,4116.7,196.16
FARM-01511,Soybean,48.71,45.53,,272.42
FARM-01512,Maize,172.7,60.12,,236.11
FARM-01513,Wheat,123.1,49.98,4591.74,229.97
FARM-01514,Sugarcane,228.69,96.01,16278.69,575.48
FARM-01515,Sugarcane,234.97,118.93,16034.51,661.82
FARM-01516,Cotton,143.43,75.94,6936.91,341.77
FARM-01517,Maize,175.15,232.25210223407782,5386.69,252.48
FARM-01518,Wheat,107.36,55.83,3528.22,230.47
FARM-01519,Wheat,118.6,71.56,4269.53,210.18
FARM-01520,Sugarcane,221.81,112.7,16073.93,527.32
FARM-01521,Cotton,156.19,56.04,7503.87,267.36
FARM-01522,Cotton,127.9,67.18,6706.83,410.33
FARM-01523,Soybean,54.92,52.33,3902.09,186.4
FARM-01524,Rice,163.99,96.36,10822.85,532.8
FARM-01525,Wheat,124.13,51.67,4294.56,219.54
FARM-01526,Wheat,122.25,52.85,4005.85,188.93
FARM-01527,Rice,139.65,73.77,11000.43,305.15
FARM-01528,Sugarcane,207.81,109.29,18615.76,
FARM-01529,Wheat,123.39,50.49,3897.83,187.17
FARM-01530,Maize,176.29,35.74,5219.67,140.98
FARM-01531,Cotton,155.82,55.44,7714.38,1134.267554741249
FARM-01532,Sugarcane,211.81,76.51,19482.88,421.18
FARM-01533,Wheat,133.02,51.5,4059.74,229.31
FARM-01534,Wheat,138.83,44.92,3508.03,205.64
FARM-01535,Rice,151.65,82.33,11450.09,363.07
FARM-01536,Maize,180.44,67.12,4538.21,351.55
FARM-01537,Wheat,148.81,44.95,3833.87,252.74
FARM-01538,Soybean,39.1,53.47,3545.52,175.9
FARM-01539,Soybean,45.66,48.75,4927.05,275.1
FARM-01540,Rice,125.67,84.87,9187.06,531.83
FARM-01541,Rice,148.34,89.04,9521.37,440.4
FARM-01542,Cotton,161.67,55.43,8045.43,315.36
FARM-01543,Maize,175.23,86.1,5648.0,342.88
FARM-01544,Maize,171.69,74.09,4615.54,318.37
FARM-01545,Maize,163.25,69.14,5257.51,274.29
FARM-01546,Maize,198.79,50.77,4836.28,245.32
FARM-01547,Cotton,153.62,51.59,6490.15,261.52
FARM-01548,Soybean,37.01,62.44,4050.05,232.38
FARM-01549,Wheat,128.64,63.78,4431.91,227.3
FARM-01550,Maize,192.75,58.92,5267.56,294.13
FARM-01551,Cotton,154.7,72.54,6663.36,443.35
FARM-01552,Soybean,41.68,45.82,4357.49,221.86
FARM-01553,Maize,184.22,74.56,5891.52,325.53
FARM-01554,Wheat,115.74,61.04,3229.76,233.74
FARM-01555,Rice,150.53,68.35,8790.73,536.51
FARM-01556,Soybean,40.22,54.84,4668.59,209.34
FARM-01557,Cotton,154.55,62.7,7036.5,1328.8833899927067
FARM-01558,Sugarcane,246.99,84.87,17496.78,431.28
FARM-01559,Wheat,137.7,43.7,3872.91,192.63
FARM-01560,Maize,186.6,82.07,5273.5,330.45
FARM-01561,Rice,154.9,79.18,11560.89,539.39
FARM-01562,Wheat,140.5,57.56,3966.13,202.8
FARM-01563,Soybean,43.9,79.98,3979.11,329.65
FARM-01564,Cotton,143.55,49.6,6563.68,323.9
FARM-01565,Wheat,109.66,43.52,3756.03,227.93
FARM-01566,Maize,171.12,73.54,15605.460906937451,298.97
FARM-01567,Soybean,43.72,73.04,4371.01,204.67
FARM-01568,Maize,166.16,80.49,4751.91,387.5
FARM-01569,Wheat,126.27,64.63,4073.16,162.84
FARM-01570,Cotton,146.53,89.33,7996.59,504.15
FARM-01571,Cotton,149.08,44.27,8183.17,258.76
FARM-01572,Cotton,145.06,63.61,8238.36,348.37
FARM-01573,Rice,145.85,72.6,10234.56,432.03
FARM-01574,Cotton,145.1,64.67,6320.49,328.76
FARM-01575,Soybean,40.93,38.72,4086.44,185.46
FARM-01576,Rice,145.9,74.57,10426.22,551.62
FARM-01577,Wheat,124.24,58.83,3796.55,276.83
FARM-01578,Rice,145.48,78.59,9667.75,382.28
FARM-01579,Rice,134.74,74.82,10218.78,379.1
FARM-01580,Rice,140.82,52.08,10721.84,346.89
FARM-01581,Maize,166.52,241.98860880257294,4507.62,254.17
FARM-01582,Soybean,44.41,52.15,4951.99,223.4
FARM-01583,Soybean,46.72,56.03,4346.06,254.69
FARM-01584,Sugarcane,224.96,104.1,16339.4,621.12
FARM-01585,Sugarcane,221.51,75.23,15576.87,580.19
FARM-01586,Rice,168.81,67.48,11529.65,413.16
FARM-01587,Wheat,126.62,48.01,3878.67,200.89
FARM-01588,Wheat,140.12,57.54,3815.37,172.12
FARM-01589,Soybean,53.65,57.57,3869.77,262.39
FARM-01590,Sugarcane,234.14,,19113.73,479.26
FARM-01591,Sugarcane,214.27,101.31,18290.06,604.08
FARM-01592,Maize,188.06,39.97,4986.88,168.85
FARM-01593,Rice,156.88,93.12,9239.1,444.5
FARM-01594,Sugarcane,211.29,93.66,19448.26,538.96
FARM-01595,Maize,176.8,66.01,5018.59,336.98
FARM-01596,Wheat,132.64,61.85,3482.66,213.6
FARM-01597,Maize,181.35,89.47,4523.79,459.61
FARM-01598,Soybean,44.46,57.78,4489.06,242.72
FARM-01599,Cotton,149.44,62.92,8093.67,336.69
FARM-01600,Soybean,37.02,57.7,3564.25,202.55
FARM-01601,Rice,155.69,87.48,9427.52,368.82
FARM-01602,Sugarcane,229.6,100.29,18802.82,570.59
FARM-01603,Cotton,120.88,54.77,7761.28,356.85
FARM-01604,Cotton,154.53,78.86,7492.72,459.97
FARM-01605,Maize,171.31,68.91,4926.73,268.97
FARM-01606,Sugarcane,206.67,111.09,19194.57,590.91
FARM-01607,Cotton,145.93,77.98,7426.51,411.49
FARM-01608,Maize,198.92,69.35,4762.17,
FARM-01609,Sugarcane,220.24,84.98,18623.98,446.5
FARM-01610,Rice,142.51,88.95,9605.53,575.72
FARM-01611,Soybean,50.48,55.29,4664.86,157.46
FARM-01612,Cotton,139.49,66.66,6385.86,382.83
FARM-01613,Maize,181.31,54.45,4801.67,236.15
FARM-01614,Cotton,160.02,61.71,7104.86,304.68
FARM-01615,Cotton,143.11,41.31,6273.55,306.15
FARM-01616,Soybean,36.71,54.36,3963.88,227.71
FARM-01617,Cotton,128.64,77.67,6396.03,515.05
FARM-01618,Cotton,157.96,57.94,8375.66,388.48
FARM-01619,Maize,166.38,97.02,5323.16,387.06
FARM-01620,Sugarcane,186.07,100.59,18420.7,645.86
FARM-01621,Wheat,125.63,64.53,3203.15,256.66
FARM-01622,Wheat,126.51,55.2,4450.57,244.07
FARM-01623,Maize,185.74,54.76,5788.69,297.99
FARM-01624,Rice,164.93,86.88,11208.47,568.41
FARM-01625,Maize,177.69,74.03,5470.57,266.03
FARM-01626,Wheat,108.74,51.84,4675.88,191.53
FARM-01627,Rice,145.52,61.04,9323.2,365.3
FARM-01628,Soybean,44.69,44.31,3457.4,170.41
FARM-01629,Sugarcane,230.15,94.89,16736.16,607.99
FARM-01630,Sugarcane,219.08,98.15,17551.51,586.07
FARM-01631,Sugarcane,191.51,96.42,18386.71,471.22
FARM-01632,Wheat,111.34,70.03,3540.25,231.6
FARM-01633,Rice,149.69,58.31,10038.19,360.55
FARM-01634,Cotton,122.62,57.65,7616.01,287.03
FARM-01635,Wheat,110.71,76.45,3881.52,231.57
FARM-01636,Rice,159.34,95.43,8805.75,668.66
FARM-01637,Rice,175.83,82.09,9187.79,454.31
FARM-01638,Wheat,122.82,55.21,4661.66,217.92
FARM-01639,Sugarcane,223.26,122.44,19370.61,583.48
FARM-01640,Rice,123.64,,9017.3,331.42
FARM-01641,Cotton,147.59,67.5,7795.75,399.71
FARM-01642,Maize,177.01,63.58,,332.31
FARM-01643,Soybean,47.36,63.26,4094.46,229.4
FARM-01644,Wheat,121.92,30.17,4107.54,140.89
FARM-01645,Rice,149.68,94.3,10292.51,449.41
FARM-01646,Sugarcane,235.06,101.34,,528.43
FARM-01647,Sugarcane,227.06,110.62,17337.37,471.73
FARM-01648,Wheat,119.77,54.03,3722.5,
FARM-01649,Sugarcane,,95.88,17678.27,597.5
FARM-01650,Rice,137.96,74.27,9240.32,561.66
FARM-01651,Soybean,39.0,66.59,3742.76,246.51
FARM-01652,Sugarcane,206.8,74.5,17882.7,512.19
FARM-01653,Soybean,58.15,46.27,3566.01,226.2
FARM-01654,Rice,165.93,84.95,9039.54,456.14
FARM-01655,Wheat,134.07,69.64,4397.1,209.06
FARM-01656,Cotton,130.92,80.12,6913.47,366.68
FARM-01657,Sugarcane,214.82,84.53,15776.31,413.66
FARM-01658,Rice,159.98,75.99,9289.96,361.42
FARM-01659,Cotton,136.76,59.42,7059.1,392.75
FARM-01660,Sugarcane,225.29,75.7,15836.42,398.7
FARM-01661,Soybean,49.51,68.05,3923.8,249.86
FARM-01662,Sugarcane,189.85,121.86,15923.48,622.38
FARM-01663,Soybean,45.5,53.3,4341.43,201.47
FARM-01664,Soybean,37.19,38.83,3975.91,191.06
FARM-01665,Rice,153.91,81.07,9217.79,489.75
FARM-01666,Maize,192.19,75.74,4939.37,291.02
